;count_bees;count_hive;breed;club;zip_code;longtitude;latitude;distance_to_body_of_water;distance_to_field_pollen;incidents(3 months);amount_neighbours;purity;temp;humidity;windspeed;sun_hours;good_place
14;91679.0;7.0;Apis mellifera ligustica;Bienenzuchtverein Ö;6181;11.1961;47.1674;235.0;263.0;8.0;15;0.8666666666666667;20;72;4;15;0
15;463295.0;7.0;Apis mellifera carnica;Beeraten;2442;16.4464;47.9727;170.0;225.0;1.0;13;0.6923076923076923;22;87;4;15;1
16;366792.0;12.0;Apis mellifera carnica;Bienieten;2442;16.4464;47.9727;180.0;230.0;0.0;13;0.6923076923076923;22;62;10;15;1
17;264105.0;9.0;Apis mellifera carnica;Bienenzuchtverein Ö;2442;16.4464;47.9727;177.0;185.0;2.0;13;0.6923076923076923;22;62;10;15;1
18;415850.0;10.0;Apis mellifera carnica;Beedom;2442;16.4464;47.9727;151.0;229.0;0.0;13;0.6923076923076923;22;62;10;15;1
19;405066.0;6.0;Apis mellifera mellifera;Bienierer;2442;16.4464;47.9727;193.0;239.0;0.0;13;0.6923076923076923;22;87;4;15;1
20;309684.0;6.0;Apis mellifera carnica;Beeraten;2442;16.4464;47.9727;222.0;218.0;0.0;13;0.6923076923076923;22;76;1;15;0
21;209040.0;8.0;Apis mellifera carnica;Beedom;2442;16.4464;47.9727;215.0;182.0;0.0;13;0.6923076923076923;20;72;4;15;1
22;605110.0;11.0;Apis mellifera carnica;Beeraten;2442;16.4464;47.9727;86.0;180.0;0.0;13;0.6923076923076923;20;72;4;15;1
23;537152.0;14.0;Apis mellifera ligustica;Beedom;2442;16.4464;47.9727;219.0;140.0;0.0;13;0.6923076923076923;20;72;4;15;1
24;144020.0;5.0;Apis mellifera carnica;Bienieten;2442;16.4464;47.9727;162.0;178.0;2.0;13;0.6923076923076923;22;76;1;15;1
25;608508.0;12.0;Apis mellifera ligustica;Beedom;2442;16.4464;47.9727;244.0;223.0;4.0;13;0.6923076923076923;20;72;4;15;0
26;338968.0;7.0;Apis mellifera ligustica;Bienieten;2442;16.4464;47.9727;205.0;214.0;3.0;13;0.6923076923076923;20;72;4;15;1
27;313848.0;9.0;Apis mellifera carnica;Bienenzuchtverein Ö;2442;16.4464;47.9727;219.0;244.0;8.0;13;0.6923076923076923;20;72;4;15;0
28;471424.0;8.0;Apis mellifera carnica;Beedom;6773;9.8087;47.0749;197.0;197.0;1.0;17;0.6470588235294118;20;72;4;15;1
29;353208.0;12.0;Apis mellifera ligustica;Beedom;6773;9.8087;47.0749;166.0;195.0;0.0;17;0.6470588235294118;20;72;4;15;1
30;563340.0;12.0;Apis mellifera ligustica;Bienenzuchtverein Ö;6773;9.8087;47.0749;221.0;232.0;0.0;17;0.6470588235294118;22;62;10;15;1
31;168819.0;3.0;Apis mellifera carnica;Beeraten;6773;9.8087;47.0749;289.0;185.0;5.0;17;0.6470588235294118;22;62;10;15;0
32;467810.0;10.0;Apis mellifera carnica;Bienenzuchtverein Ö;6773;9.8087;47.0749;248.0;189.0;8.0;17;0.6470588235294118;22;76;1;15;0
33;418584.0;12.0;Apis mellifera carnica;Bienierer;6773;9.8087;47.0749;252.0;170.0;0.0;17;0.6470588235294118;22;87;4;15;0
34;826111.0;13.0;Apis mellifera carnica;Bienenzuchtverein Ö;6773;9.8087;47.0749;199.0;131.0;0.0;17;0.6470588235294118;20;72;4;15;1
35;185796.0;6.0;Apis mellifera carnica;Bienenzuchtverein Ö;6773;9.8087;47.0749;240.0;237.0;0.0;17;0.6470588235294118;22;62;10;15;1
36;594790.0;14.0;Apis mellifera ligustica;Beedom;6773;9.8087;47.0749;213.0;219.0;4.0;17;0.6470588235294118;22;76;1;15;0
37;223560.0;5.0;Apis mellifera carnica;Beedom;6773;9.8087;47.0749;195.0;272.0;0.0;17;0.6470588235294118;22;76;1;15;1
38;84132.0;9.0;Apis mellifera carnica;Bienenzuchtverein Ö;6773;9.8087;47.0749;244.0;189.0;0.0;17;0.6470588235294118;22;62;10;15;1
39;52370.0;10.0;Apis mellifera mellifera;Bienierer;6773;9.8087;47.0749;174.0;246.0;0.0;17;0.6470588235294118;20;72;4;15;1
40;279262.0;19.0;Apis mellifera carnica;Bienieten;6773;9.8087;47.0749;163.0;200.0;0.0;17;0.6470588235294118;22;87;4;15;1
41;353680.0;8.0;Apis mellifera mellifera;Bienenzuchtverein Ö;6773;9.8087;47.0749;253.0;216.0;5.0;17;0.6470588235294118;22;62;10;15;0
42;461224.0;8.0;Apis mellifera ligustica;Beedom;6773;9.8087;47.0749;160.0;194.0;0.0;17;0.6470588235294118;20;72;4;15;1
43;585321.0;11.0;Apis mellifera carnica;Bienieten;6773;9.8087;47.0749;223.0;200.0;0.0;17;0.6470588235294118;20;72;4;15;1
44;287280.0;6.0;Apis mellifera carnica;Bienieten;6773;9.8087;47.0749;221.0;199.0;5.0;17;0.6470588235294118;20;72;4;15;0
45;311628.0;6.0;Apis mellifera carnica;Beeraten;4101;14.0705;48.3562;120.0;281.0;1.0;19;0.6842105263157895;22;76;1;15;1
46;152790.0;11.0;Apis mellifera carnica;Bienenzuchtverein Ö;4101;14.0705;48.3562;180.0;215.0;6.0;19;0.6842105263157895;22;87;4;15;0
47;271974.0;6.0;Apis mellifera ligustica;Bienierer;4101;14.0705;48.3562;204.0;207.0;0.0;19;0.6842105263157895;22;62;10;15;1
48;683300.0;10.0;Apis mellifera ligustica;Beedom;4101;14.0705;48.3562;188.0;249.0;3.0;19;0.6842105263157895;20;72;4;15;1
49;704574.0;13.0;Apis mellifera ligustica;Beedom;4101;14.0705;48.3562;149.0;141.0;1.0;19;0.6842105263157895;22;76;1;15;1
50;377440.0;7.0;Apis mellifera carnica;Bienierer;4101;14.0705;48.3562;172.0;210.0;0.0;19;0.6842105263157895;22;76;1;15;0
51;464499.0;7.0;Apis mellifera carnica;Beeraten;4101;14.0705;48.3562;212.0;193.0;0.0;19;0.6842105263157895;20;72;4;15;1
52;774705.0;15.0;Apis mellifera carnica;Beeraten;4101;14.0705;48.3562;243.0;132.0;0.0;19;0.6842105263157895;22;62;10;15;1
53;357872.0;8.0;Apis mellifera carnica;Beeraten;4101;14.0705;48.3562;200.0;172.0;0.0;19;0.6842105263157895;22;76;1;15;1
54;603135.0;9.0;Apis mellifera ligustica;Bienieten;4101;14.0705;48.3562;134.0;141.0;0.0;19;0.6842105263157895;22;62;10;15;1
55;290433.0;13.0;Apis mellifera carnica;Bienierer;4101;14.0705;48.3562;185.0;268.0;4.0;19;0.6842105263157895;22;62;10;15;0
56;428136.0;8.0;Apis mellifera carnica;Beeraten;4101;14.0705;48.3562;150.0;255.0;0.0;19;0.6842105263157895;22;76;1;15;1
57;60690.0;10.0;Apis mellifera carnica;Bienieten;4101;14.0705;48.3562;166.0;251.0;0.0;19;0.6842105263157895;22;87;4;15;1
58;148224.0;16.0;Apis mellifera carnica;Bienenzuchtverein Ö;4101;14.0705;48.3562;120.0;201.0;0.0;19;0.6842105263157895;22;76;1;15;1
59;500922.0;9.0;Apis mellifera ligustica;Bienieten;4101;14.0705;48.3562;200.0;206.0;1.0;19;0.6842105263157895;22;76;1;15;1
60;397728.0;6.0;Apis mellifera carnica;Bienenzuchtverein Ö;4101;14.0705;48.3562;258.0;205.0;0.0;19;0.6842105263157895;22;87;4;15;1
61;279608.0;7.0;Apis mellifera ligustica;Bienenzuchtverein Ö;4101;14.0705;48.3562;165.0;165.0;0.0;19;0.6842105263157895;22;87;4;15;1
62;662508.0;11.0;Apis mellifera carnica;Bienenzuchtverein Ö;4101;14.0705;48.3562;168.0;208.0;0.0;19;0.6842105263157895;22;62;10;15;1
63;444197.0;13.0;Apis mellifera carnica;Beeraten;4101;14.0705;48.3562;189.0;209.0;0.0;19;0.6842105263157895;22;76;1;15;0
64;584730.0;10.0;Apis mellifera carnica;Bienenzuchtverein Ö;8934;14.7001;47.7278;195.0;204.0;0.0;16;0.6875;20;72;4;15;1
65;286872.0;8.0;Apis mellifera carnica;Bienenzuchtverein Ö;8934;14.7001;47.7278;216.0;221.0;5.0;16;0.6875;20;72;4;15;0
66;261408.0;7.0;Apis mellifera ligustica;Bienenzuchtverein Ö;8934;14.7001;47.7278;156.0;168.0;0.0;16;0.6875;20;72;4;15;1
67;158158.0;11.0;Apis mellifera ligustica;Bienenzuchtverein Ö;8934;14.7001;47.7278;159.0;184.0;3.0;16;0.6875;22;87;4;15;1
68;135619.0;11.0;Apis mellifera ligustica;Bienierer;8934;14.7001;47.7278;189.0;181.0;0.0;16;0.6875;22;76;1;15;0
69;82208.0;7.0;Apis mellifera carnica;Bienenzuchtverein Ö;8934;14.7001;47.7278;165.0;273.0;0.0;16;0.6875;20;72;4;15;1
70;223691.0;13.0;Apis mellifera carnica;Bienieten;8934;14.7001;47.7278;232.0;267.0;0.0;16;0.6875;22;62;10;15;1
71;698810.0;10.0;Apis mellifera carnica;Beeraten;8934;14.7001;47.7278;160.0;151.0;2.0;16;0.6875;22;62;10;15;0
72;194712.0;8.0;Apis mellifera carnica;Bienenzuchtverein Ö;8934;14.7001;47.7278;176.0;160.0;1.0;16;0.6875;22;87;4;15;0
73;402040.0;8.0;Apis mellifera carnica;Bienenzuchtverein Ö;8934;14.7001;47.7278;221.0;228.0;0.0;16;0.6875;22;62;10;15;1
74;321200.0;8.0;Apis mellifera ligustica;Beedom;8934;14.7001;47.7278;148.0;194.0;2.0;16;0.6875;22;62;10;15;1
75;764088.0;13.0;Apis mellifera carnica;Bienenzuchtverein Ö;8934;14.7001;47.7278;227.0;231.0;2.0;16;0.6875;20;72;4;15;1
76;351598.0;13.0;Apis mellifera ligustica;Beeraten;8934;14.7001;47.7278;168.0;164.0;0.0;16;0.6875;22;87;4;15;1
77;426864.0;12.0;Apis mellifera carnica;Bienierer;8934;14.7001;47.7278;215.0;226.0;2.0;16;0.6875;22;62;10;15;1
78;349890.0;10.0;Apis mellifera carnica;Beedom;8934;14.7001;47.7278;233.0;174.0;0.0;16;0.6875;22;87;4;15;1
79;59345.0;11.0;Apis mellifera carnica;Beedom;8934;14.7001;47.7278;142.0;145.0;0.0;16;0.6875;22;87;4;15;1
80;411040.0;14.0;Apis mellifera carnica;Beedom;4052;14.2922;48.2077;210.0;201.0;8.0;14;0.8571428571428571;22;62;10;15;0
81;222648.0;12.0;Apis mellifera carnica;Beeraten;4052;14.2922;48.2077;134.0;230.0;0.0;14;0.8571428571428571;22;87;4;15;1
82;130480.0;5.0;Apis mellifera mellifera;Beedom;4052;14.2922;48.2077;191.0;147.0;0.0;14;0.8571428571428571;22;62;10;15;1
83;402660.0;10.0;Apis mellifera carnica;Beedom;4052;14.2922;48.2077;186.0;180.0;2.0;14;0.8571428571428571;22;87;4;15;1
84;374656.0;8.0;Apis mellifera carnica;Bienierer;4052;14.2922;48.2077;141.0;225.0;1.0;14;0.8571428571428571;22;87;4;15;0
85;574710.0;10.0;Apis mellifera carnica;Bienierer;4052;14.2922;48.2077;210.0;206.0;4.0;14;0.8571428571428571;22;87;4;15;0
86;368390.0;11.0;Apis mellifera carnica;Bienierer;4052;14.2922;48.2077;162.0;205.0;2.0;14;0.8571428571428571;22;62;10;15;1
87;331639.0;7.0;Apis mellifera carnica;Bienieten;4052;14.2922;48.2077;166.0;228.0;0.0;14;0.8571428571428571;22;76;1;15;1
88;99148.0;7.0;Apis mellifera ligustica;Bienieten;4052;14.2922;48.2077;266.0;201.0;0.0;14;0.8571428571428571;22;76;1;15;1
89;564811.0;13.0;Apis mellifera carnica;Bienenzuchtverein Ö;4052;14.2922;48.2077;222.0;198.0;0.0;14;0.8571428571428571;22;62;10;15;1
90;132090.0;7.0;Apis mellifera carnica;Bienierer;4052;14.2922;48.2077;206.0;239.0;0.0;14;0.8571428571428571;22;62;10;15;1
91;486920.0;10.0;Apis mellifera carnica;Beeraten;4052;14.2922;48.2077;239.0;222.0;0.0;14;0.8571428571428571;22;87;4;15;1
92;63720.0;8.0;Apis mellifera carnica;Bienierer;4052;14.2922;48.2077;209.0;135.0;5.0;14;0.8571428571428571;22;76;1;15;0
93;38913.0;7.0;Apis mellifera carnica;Bienierer;4052;14.2922;48.2077;195.0;233.0;0.0;14;0.8571428571428571;22;87;4;15;1
94;209209.0;7.0;Apis mellifera carnica;Beeraten;8953;14.1387;47.3917;188.0;238.0;4.0;9;1.0;22;76;1;15;0
95;561528.0;9.0;Apis mellifera carnica;Beeraten;8953;14.1387;47.3917;169.0;239.0;0.0;9;1.0;20;72;4;15;1
96;729190.0;14.0;Apis mellifera carnica;Bienierer;8953;14.1387;47.3917;233.0;190.0;1.0;9;1.0;22;76;1;15;1
97;126544.0;11.0;Apis mellifera carnica;Beedom;8953;14.1387;47.3917;210.0;155.0;0.0;9;1.0;22;62;10;15;1
98;829752.0;12.0;Apis mellifera carnica;Bienenzuchtverein Ö;8953;14.1387;47.3917;287.0;198.0;7.0;9;1.0;22;87;4;15;0
99;297076.0;13.0;Apis mellifera carnica;Bienierer;8953;14.1387;47.3917;233.0;207.0;4.0;9;1.0;20;72;4;15;0
100;541880.0;10.0;Apis mellifera carnica;Beedom;8953;14.1387;47.3917;155.0;250.0;2.0;9;1.0;22;76;1;15;1
101;490369.0;11.0;Apis mellifera carnica;Bienieten;8953;14.1387;47.3917;191.0;216.0;8.0;9;1.0;20;72;4;15;0
102;262143.0;7.0;Apis mellifera carnica;Bienierer;8953;14.1387;47.3917;214.0;282.0;0.0;9;1.0;20;72;4;15;1
103;886312.0;14.0;Apis mellifera carnica;Beedom;4614;14.1105;48.1949;312.0;210.0;0.0;15;0.6666666666666666;22;87;4;15;0
104;385060.0;13.0;Apis mellifera ligustica;Beeraten;4614;14.1105;48.1949;154.0;202.0;3.0;15;0.6666666666666666;22;62;10;15;1
105;146020.0;10.0;Apis mellifera ligustica;Bienieten;4614;14.1105;48.1949;185.0;216.0;1.0;15;0.6666666666666666;22;76;1;15;1
106;114129.0;9.0;Apis mellifera carnica;Bienieten;4614;14.1105;48.1949;171.0;173.0;0.0;15;0.6666666666666666;22;87;4;15;1
107;167125.0;7.0;Apis mellifera carnica;Bienieten;4614;14.1105;48.1949;259.0;254.0;4.0;15;0.6666666666666666;22;62;10;15;0
108;104560.0;16.0;Apis mellifera carnica;Bienenzuchtverein Ö;4614;14.1105;48.1949;167.0;165.0;4.0;15;0.6666666666666666;22;76;1;15;0
109;319408.0;8.0;Apis mellifera ligustica;Bienieten;4614;14.1105;48.1949;244.0;237.0;0.0;15;0.6666666666666666;22;87;4;15;1
110;773822.0;14.0;Apis mellifera ligustica;Beeraten;4614;14.1105;48.1949;222.0;175.0;0.0;15;0.6666666666666666;22;87;4;15;1
111;642984.0;12.0;Apis mellifera carnica;Bienenzuchtverein Ö;4614;14.1105;48.1949;202.0;168.0;1.0;15;0.6666666666666666;22;87;4;15;1
112;179400.0;8.0;Apis mellifera carnica;Bienierer;4614;14.1105;48.1949;187.0;161.0;0.0;15;0.6666666666666666;22;87;4;15;1
113;365478.0;6.0;Apis mellifera carnica;Bienierer;4614;14.1105;48.1949;230.0;158.0;7.0;15;0.6666666666666666;20;72;4;15;0
114;129501.0;9.0;Apis mellifera carnica;Beedom;4614;14.1105;48.1949;170.0;207.0;6.0;15;0.6666666666666666;22;76;1;15;0
115;124516.0;7.0;Apis mellifera ligustica;Beedom;4614;14.1105;48.1949;189.0;235.0;4.0;15;0.6666666666666666;22;62;10;15;0
116;479076.0;12.0;Apis mellifera carnica;Bienieten;4614;14.1105;48.1949;117.0;188.0;0.0;15;0.6666666666666666;22;87;4;15;1
117;128346.0;3.0;Apis mellifera carnica;Bienierer;4614;14.1105;48.1949;176.0;167.0;8.0;15;0.6666666666666666;22;76;1;15;0
118;386484.0;14.0;Apis mellifera carnica;Beedom;2281;16.5714;48.2428;189.0;194.0;0.0;21;0.7142857142857143;22;87;4;15;0
119;91808.0;8.0;Apis mellifera carnica;Beeraten;2281;16.5714;48.2428;225.0;225.0;8.0;21;0.7142857142857143;22;87;4;15;0
120;63264.0;4.0;Apis mellifera carnica;Beeraten;2281;16.5714;48.2428;178.0;193.0;4.0;21;0.7142857142857143;22;76;1;15;0
121;249845.0;5.0;Apis mellifera mellifera;Bienierer;2281;16.5714;48.2428;139.0;193.0;0.0;21;0.7142857142857143;22;87;4;15;1
122;134475.0;11.0;Apis mellifera carnica;Bienierer;2281;16.5714;48.2428;249.0;157.0;0.0;21;0.7142857142857143;22;62;10;15;1
123;216276.0;4.0;Apis mellifera carnica;Beeraten;2281;16.5714;48.2428;199.0;193.0;4.0;21;0.7142857142857143;22;76;1;15;0
124;641460.0;10.0;Apis mellifera carnica;Beeraten;2281;16.5714;48.2428;165.0;201.0;0.0;21;0.7142857142857143;22;87;4;15;1
125;97278.0;6.0;Apis mellifera ligustica;Bienierer;2281;16.5714;48.2428;138.0;158.0;0.0;21;0.7142857142857143;22;76;1;15;1
126;543760.0;10.0;Apis mellifera ligustica;Bienieten;2281;16.5714;48.2428;245.0;130.0;0.0;21;0.7142857142857143;22;76;1;15;1
127;608400.0;13.0;Apis mellifera ligustica;Bienenzuchtverein Ö;2281;16.5714;48.2428;160.0;229.0;2.0;21;0.7142857142857143;22;62;10;15;1
128;393066.0;9.0;Apis mellifera carnica;Beedom;2281;16.5714;48.2428;184.0;212.0;0.0;21;0.7142857142857143;22;87;4;15;0
129;424270.0;10.0;Apis mellifera carnica;Beedom;2281;16.5714;48.2428;152.0;209.0;2.0;21;0.7142857142857143;20;72;4;15;0
130;385229.0;13.0;Apis mellifera carnica;Bienierer;2281;16.5714;48.2428;282.0;242.0;0.0;21;0.7142857142857143;22;76;1;15;1
131;771904.0;16.0;Apis mellifera carnica;Beeraten;2281;16.5714;48.2428;196.0;180.0;4.0;21;0.7142857142857143;22;76;1;15;0
132;234279.0;9.0;Apis mellifera carnica;Beeraten;2281;16.5714;48.2428;202.0;201.0;6.0;21;0.7142857142857143;22;76;1;15;0
133;74662.0;7.0;Apis mellifera carnica;Bienierer;2281;16.5714;48.2428;219.0;192.0;5.0;21;0.7142857142857143;22;87;4;15;0
134;150052.0;7.0;Apis mellifera ligustica;Bienieten;2281;16.5714;48.2428;184.0;194.0;0.0;21;0.7142857142857143;22;87;4;15;1
135;537460.0;14.0;Apis mellifera carnica;Bienieten;2281;16.5714;48.2428;222.0;251.0;0.0;21;0.7142857142857143;22;76;1;15;1
136;387909.0;9.0;Apis mellifera ligustica;Bienieten;2281;16.5714;48.2428;220.0;201.0;7.0;21;0.7142857142857143;22;62;10;15;0
137;152460.0;10.0;Apis mellifera carnica;Bienierer;2281;16.5714;48.2428;171.0;218.0;0.0;21;0.7142857142857143;22;62;10;15;1
138;277540.0;5.0;Apis mellifera carnica;Beeraten;2281;16.5714;48.2428;153.0;248.0;0.0;21;0.7142857142857143;22;76;1;15;1
139;454720.0;8.0;Apis mellifera carnica;Beeraten;6095;11.2621;47.1905;217.0;174.0;0.0;16;0.8125;22;87;4;15;1
140;159168.0;12.0;Apis mellifera ligustica;Bienierer;6095;11.2621;47.1905;168.0;241.0;0.0;16;0.8125;22;62;10;15;1
141;642612.0;12.0;Apis mellifera carnica;Beeraten;6095;11.2621;47.1905;169.0;213.0;0.0;16;0.8125;20;72;4;15;1
142;367216.0;8.0;Apis mellifera carnica;Bienieten;6095;11.2621;47.1905;242.0;153.0;3.0;16;0.8125;22;87;4;15;1
143;247610.0;5.0;Apis mellifera mellifera;Bienierer;6095;11.2621;47.1905;218.0;228.0;1.0;16;0.8125;22;76;1;15;1
144;540241.0;13.0;Apis mellifera carnica;Bienierer;6095;11.2621;47.1905;141.0;157.0;0.0;16;0.8125;20;72;4;15;1
145;106704.0;12.0;Apis mellifera carnica;Bienierer;6095;11.2621;47.1905;202.0;187.0;1.0;16;0.8125;22;76;1;15;1
146;279552.0;6.0;Apis mellifera carnica;Bienenzuchtverein Ö;6095;11.2621;47.1905;141.0;245.0;0.0;16;0.8125;22;87;4;15;1
147;612117.0;11.0;Apis mellifera carnica;Bienenzuchtverein Ö;6095;11.2621;47.1905;214.0;168.0;2.0;16;0.8125;22;76;1;15;1
148;547254.0;9.0;Apis mellifera carnica;Beeraten;6095;11.2621;47.1905;171.0;133.0;4.0;16;0.8125;22;87;4;15;0
149;254640.0;10.0;Apis mellifera carnica;Bienierer;6095;11.2621;47.1905;242.0;180.0;3.0;16;0.8125;20;72;4;15;1
150;297416.0;8.0;Apis mellifera mellifera;Beeraten;6095;11.2621;47.1905;162.0;249.0;0.0;16;0.8125;22;76;1;15;1
151;201480.0;8.0;Apis mellifera carnica;Beeraten;6095;11.2621;47.1905;264.0;176.0;0.0;16;0.8125;20;72;4;15;1
152;34085.0;5.0;Apis mellifera carnica;Beeraten;6095;11.2621;47.1905;167.0;172.0;0.0;16;0.8125;22;62;10;15;0
153;360262.0;7.0;Apis mellifera carnica;Bienieten;6095;11.2621;47.1905;216.0;208.0;1.0;16;0.8125;22;76;1;15;1
154;232090.0;10.0;Apis mellifera carnica;Bienenzuchtverein Ö;6095;11.2621;47.1905;239.0;170.0;1.0;16;0.8125;20;72;4;15;1
155;417372.0;12.0;Apis mellifera carnica;Bienierer;8903;14.2512;47.5297;202.0;188.0;1.0;15;0.6666666666666666;20;72;4;15;1
156;230790.0;7.0;Apis mellifera carnica;Bienieten;8903;14.2512;47.5297;218.0;148.0;0.0;15;0.6666666666666666;22;87;4;15;1
157;694397.0;11.0;Apis mellifera carnica;Beedom;8903;14.2512;47.5297;191.0;162.0;1.0;15;0.6666666666666666;22;87;4;15;1
158;237097.0;7.0;Apis mellifera ligustica;Bienenzuchtverein Ö;8903;14.2512;47.5297;181.0;240.0;5.0;15;0.6666666666666666;22;76;1;15;0
159;134652.0;7.0;Apis mellifera mellifera;Bienierer;8903;14.2512;47.5297;187.0;178.0;0.0;15;0.6666666666666666;22;62;10;15;1
160;175520.0;8.0;Apis mellifera mellifera;Beedom;8903;14.2512;47.5297;223.0;145.0;0.0;15;0.6666666666666666;22;87;4;15;1
161;58506.0;7.0;Apis mellifera carnica;Beeraten;8903;14.2512;47.5297;208.0;172.0;1.0;15;0.6666666666666666;20;72;4;15;1
162;537417.0;9.0;Apis mellifera carnica;Bienieten;8903;14.2512;47.5297;158.0;221.0;3.0;15;0.6666666666666666;22;76;1;15;1
163;185976.0;8.0;Apis mellifera ligustica;Beeraten;8903;14.2512;47.5297;232.0;191.0;2.0;15;0.6666666666666666;22;87;4;15;1
164;205814.0;7.0;Apis mellifera carnica;Beedom;8903;14.2512;47.5297;191.0;200.0;0.0;15;0.6666666666666666;22;76;1;15;1
165;620724.0;13.0;Apis mellifera mellifera;Bienenzuchtverein Ö;8903;14.2512;47.5297;279.0;227.0;0.0;15;0.6666666666666666;22;76;1;15;0
166;348550.0;10.0;Apis mellifera carnica;Bienieten;8903;14.2512;47.5297;130.0;203.0;0.0;15;0.6666666666666666;20;72;4;15;1
167;299504.0;8.0;Apis mellifera carnica;Bienieten;8903;14.2512;47.5297;226.0;237.0;0.0;15;0.6666666666666666;22;62;10;15;1
168;263530.0;10.0;Apis mellifera carnica;Bienenzuchtverein Ö;8903;14.2512;47.5297;264.0;157.0;0.0;15;0.6666666666666666;22;62;10;15;1
169;155111.0;11.0;Apis mellifera carnica;Bienierer;8903;14.2512;47.5297;185.0;147.0;0.0;15;0.6666666666666666;22;62;10;15;1
170;238470.0;6.0;Apis mellifera carnica;Bienenzuchtverein Ö;6691;10.453;47.5709;133.0;133.0;0.0;11;0.9090909090909091;22;76;1;15;1
171;704016.0;16.0;Apis mellifera carnica;Beedom;6691;10.453;47.5709;180.0;234.0;3.0;11;0.9090909090909091;22;76;1;15;1
172;250404.0;11.0;Apis mellifera mellifera;Beedom;6691;10.453;47.5709;215.0;252.0;1.0;11;0.9090909090909091;22;76;1;15;1
173;244478.0;13.0;Apis mellifera carnica;Bienieten;6691;10.453;47.5709;260.0;194.0;0.0;11;0.9090909090909091;20;72;4;15;1
174;473094.0;9.0;Apis mellifera carnica;Bienierer;6691;10.453;47.5709;194.0;196.0;5.0;11;0.9090909090909091;22;87;4;15;0
175;116928.0;7.0;Apis mellifera carnica;Bienierer;6691;10.453;47.5709;202.0;186.0;0.0;11;0.9090909090909091;22;87;4;15;1
176;863385.0;15.0;Apis mellifera carnica;Bienenzuchtverein Ö;6691;10.453;47.5709;180.0;233.0;1.0;11;0.9090909090909091;22;76;1;15;1
177;838877.0;13.0;Apis mellifera carnica;Bienieten;6691;10.453;47.5709;222.0;144.0;0.0;11;0.9090909090909091;22;62;10;15;0
178;284760.0;12.0;Apis mellifera carnica;Beedom;6691;10.453;47.5709;241.0;192.0;0.0;11;0.9090909090909091;22;62;10;15;1
179;344487.0;13.0;Apis mellifera carnica;Beeraten;6691;10.453;47.5709;179.0;265.0;1.0;11;0.9090909090909091;22;87;4;15;1
180;533730.0;10.0;Apis mellifera carnica;Bienieten;6691;10.453;47.5709;192.0;146.0;4.0;11;0.9090909090909091;22;76;1;15;0
181;170910.0;9.0;Apis mellifera carnica;Beedom;5431;13.1363;47.6217;178.0;203.0;1.0;11;0.8181818181818182;22;76;1;15;0
182;455424.0;12.0;Apis mellifera ligustica;Bienenzuchtverein Ö;5431;13.1363;47.6217;170.0;245.0;4.0;11;0.8181818181818182;22;87;4;15;0
183;662207.0;13.0;Apis mellifera carnica;Beeraten;5431;13.1363;47.6217;183.0;226.0;4.0;11;0.8181818181818182;22;76;1;15;0
184;830570.0;13.0;Apis mellifera carnica;Bienierer;5431;13.1363;47.6217;202.0;240.0;1.0;11;0.8181818181818182;20;72;4;15;1
